layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,False
0,outcome,0.5168,0.5168,False
1,intent,0.5403,0.5,False
1,outcome,0.8228,0.5168,False
2,intent,0.52,0.5,False
2,outcome,0.8129,0.5168,False
3,intent,0.5201,0.5,False
3,outcome,0.7929,0.5168,False
4,intent,0.5269,0.5,False
4,outcome,0.8498,0.5168,False
5,intent,0.5332,0.5,False
5,outcome,0.9126,0.5168,False
6,intent,0.5869,0.5,False
6,outcome,0.8762,0.5168,False
7,intent,0.5438,0.5,False
7,outcome,0.8798,0.5168,False
8,intent,0.5633,0.5,False
8,outcome,0.9464,0.5168,False
9,intent,0.5769,0.5,False
9,outcome,0.9731,0.5168,False
10,intent,0.5705,0.5,False
10,outcome,0.9766,0.5168,False
11,intent,0.6541,0.5,False
11,outcome,0.98,0.5168,False
12,intent,0.6714,0.5,False
12,outcome,0.9867,0.5168,False
13,intent,0.6375,0.5,False
13,outcome,0.98,0.5168,False
14,intent,0.6174,0.5,False
14,outcome,0.98,0.5168,False
15,intent,0.6576,0.5,False
15,outcome,0.9933,0.5168,False
16,intent,0.6546,0.5,False
16,outcome,0.9933,0.5168,False
17,intent,0.6341,0.5,False
17,outcome,0.9933,0.5168,False
18,intent,0.6208,0.5,False
18,outcome,0.9933,0.5168,False
19,intent,0.6211,0.5,False
19,outcome,0.9933,0.5168,False
20,intent,0.6107,0.5,False
20,outcome,0.98,0.5168,False
21,intent,0.638,0.5,False
21,outcome,0.9867,0.5168,False
22,intent,0.6207,0.5,False
22,outcome,0.9867,0.5168,False
23,intent,0.6372,0.5,False
23,outcome,0.9599,0.5168,False
24,intent,0.6377,0.5,False
24,outcome,0.9597,0.5168,False
