layer,target,cv_acc,chance,degenerate
0,intent,0.574,0.5,False
0,outcome,0.7386,0.5168,False
1,intent,0.5669,0.5,False
1,outcome,0.7118,0.5168,False
2,intent,0.5369,0.5,False
2,outcome,0.7387,0.5168,False
3,intent,0.5641,0.5,False
3,outcome,0.6711,0.5168,False
4,intent,0.5436,0.5,False
4,outcome,0.7445,0.5168,False
5,intent,0.5575,0.5,False
5,outcome,0.728,0.5168,False
6,intent,0.5675,0.5,False
6,outcome,0.7417,0.5168,False
7,intent,0.5943,0.5,False
7,outcome,0.7787,0.5168,False
8,intent,0.6175,0.5,False
8,outcome,0.7957,0.5168,False
9,intent,0.6543,0.5,False
9,outcome,0.8628,0.5168,False
10,intent,0.6175,0.5,False
10,outcome,0.9062,0.5168,False
11,intent,0.6137,0.5,False
11,outcome,0.9128,0.5168,False
12,intent,0.5843,0.5,False
12,outcome,0.9432,0.5168,False
13,intent,0.6374,0.5,False
13,outcome,0.9098,0.5168,False
14,intent,0.6144,0.5,False
14,outcome,0.8895,0.5168,False
15,intent,0.5974,0.5,False
15,outcome,0.8428,0.5168,False
16,intent,0.5777,0.5,False
16,outcome,0.8495,0.5168,False
17,intent,0.5946,0.5,False
17,outcome,0.8293,0.5168,False
18,intent,0.5707,0.5,False
18,outcome,0.7989,0.5168,False
19,intent,0.5744,0.5,False
19,outcome,0.7783,0.5168,False
20,intent,0.5978,0.5,False
20,outcome,0.8056,0.5168,False
21,intent,0.5672,0.5,False
21,outcome,0.732,0.5168,False
22,intent,0.5471,0.5,False
22,outcome,0.7054,0.5168,False
23,intent,0.574,0.5,False
23,outcome,0.722,0.5168,False
24,intent,0.5605,0.5,False
24,outcome,0.7382,0.5168,False
