layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,False
0,outcome,0.5168,0.5168,False
1,intent,0.5702,0.5,False
1,outcome,0.8531,0.5168,False
2,intent,0.553,0.5,False
2,outcome,0.8867,0.5168,False
3,intent,0.5806,0.5,False
3,outcome,0.8967,0.5168,False
4,intent,0.5772,0.5,False
4,outcome,0.9667,0.5168,False
5,intent,0.6343,0.5,False
5,outcome,0.9867,0.5168,False
6,intent,0.6143,0.5,False
6,outcome,0.99,0.5168,False
7,intent,0.6371,0.5,False
7,outcome,0.9667,0.5168,False
8,intent,0.6175,0.5,False
8,outcome,0.9933,0.5168,False
9,intent,0.6278,0.5,False
9,outcome,0.9933,0.5168,False
10,intent,0.6677,0.5,False
10,outcome,0.9933,0.5168,False
11,intent,0.7053,0.5,False
11,outcome,0.9933,0.5168,False
12,intent,0.7387,0.5,False
12,outcome,0.9933,0.5168,False
13,intent,0.8263,0.5,False
13,outcome,0.9933,0.5168,False
14,intent,0.7751,0.5,False
14,outcome,0.9967,0.5168,False
15,intent,0.826,0.5,False
15,outcome,0.9967,0.5168,False
16,intent,0.8493,0.5,False
16,outcome,1.0,0.5168,False
17,intent,0.8726,0.5,False
17,outcome,0.9967,0.5168,False
18,intent,0.8692,0.5,False
18,outcome,0.9967,0.5168,False
19,intent,0.8795,0.5,False
19,outcome,0.9967,0.5168,False
20,intent,0.8022,0.5,False
20,outcome,0.9933,0.5168,False
21,intent,0.7954,0.5,False
21,outcome,0.9967,0.5168,False
22,intent,0.7649,0.5,False
22,outcome,1.0,0.5168,False
23,intent,0.7447,0.5,False
23,outcome,0.9933,0.5168,False
24,intent,0.7113,0.5,False
24,outcome,0.9967,0.5168,False
25,intent,0.7013,0.5,False
25,outcome,0.9967,0.5168,False
26,intent,0.6982,0.5,False
26,outcome,0.9933,0.5168,False
27,intent,0.7082,0.5,False
27,outcome,0.9967,0.5168,False
28,intent,0.7176,0.5,False
28,outcome,0.99,0.5168,False
