model,intent_reliance_index,intent_reliance_sd,n_templates,n_templates_total,b_intent_mean,b_outcome_mean,degenerate
allenai/Llama-3_1-Tulu-3-8B,0.1188,0.0364,7,7,0.0596,0.4272,False
allenai/OLMo-2-1124-7B,,,0,7,,,True
allenai/OLMo-2-1124-7B-Instruct,0.0619,0.0499,7,7,0.0287,0.5871,False
HuggingFaceH4/zephyr-7b-beta,,,0,7,,,True
mistralai/Mistral-7B-Instruct-v0_3,,,0,7,,,True
mistralai/Mistral-7B-v0_3,,,0,7,,,True
Qwen/Qwen2_5-0_5B,,,0,7,,,True
Qwen/Qwen2_5-0_5B-Instruct,0.0366,0.0208,4,7,-0.0008,0.0938,False
Qwen/Qwen2_5-1_5B,,,0,7,,,True
Qwen/Qwen2_5-1_5B-Instruct,0.0683,0.0511,6,7,0.0077,0.169,False
Qwen/Qwen2_5-14B,0.0414,0.0267,6,7,-0.0002,0.1147,False
Qwen/Qwen2_5-14B-Instruct,0.1869,0.0899,7,7,0.1005,0.4609,False
Qwen/Qwen2_5-3B,0.0098,0.012,2,7,0.0008,0.0858,False
Qwen/Qwen2_5-3B-Instruct,0.1382,0.1006,7,7,0.0076,0.2462,False
Qwen/Qwen2_5-7B,0.0521,0.0211,3,7,-0.001,0.0728,False
Qwen/Qwen2_5-7B-Instruct,0.1189,0.0625,7,7,0.0377,0.2982,False
unsloth/gemma-2-9b,,,0,7,,,True
unsloth/gemma-2-9b-it,0.1531,0.09,7,7,0.1009,0.5019,False
unsloth/Meta-Llama-3_1-8B,,,0,7,,,True
unsloth/Meta-Llama-3_1-8B-Instruct,0.19,0.0428,7,7,0.0633,0.2581,False
