model,condition,provider,story_id,condition_cell,template,sample_i,rating,rating_norm,s_min,s_max
kimi-k2.6,direct,moonshot,YS2008-COFFEE-neutral,neutral,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-COFFEE-neutral,neutral,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-neutral,neutral,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-neutral,neutral,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-accidental,accidental,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-COFFEE-accidental,accidental,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-accidental,accidental,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-accidental,accidental,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-attempted,attempted,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-COFFEE-attempted,attempted,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-attempted,attempted,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-attempted,attempted,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-intentional,intentional,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-COFFEE-intentional,intentional,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-intentional,intentional,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-COFFEE-intentional,intentional,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-neutral,neutral,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-LAB-neutral,neutral,blame_w1,0,4.0,0.5,1,7
